Manuscript,Canonical Story ID,ID Number,ID Letter,Recension ID,Incipit,Canonical Incipit
EMML (HMML) 6938,1-A,1,A,,በእንተ፡ ዘከመ፡ አስተርአየቶ፡ ለቴዎፍሎስ፡ ሊቀ፡ ጳጳሳት፡ ወዘከመ፡ ተናገረቶ፡ ወአጽነዐቶ፡ እምደካመ፡ ፍኖት። ይቤ፡ ቴዎፍሎስ፡ ሊቀ፡ ጳጳሳት፡ ስምዑ፡ አበውየ፡ ወአኀውየ፡ ዘእነግረክሙ፡ በፍርሃት፡ ወበረዓድ፡ ወበሃይማኖት፡ ርትዕት,TRUE
EMML (HMML) 1606,1-B,1,B,,ወበይእቲ፡ ዕለት፡ ሞተ፡ ስምዖን፡ ካህን፡ አረጋዊ፡ ወነበረ፡ ሄሮድስ፡ ፪፡ ዓመተ፡ እንዘ፡ ይጸንሖሙ፡ ለሰብአ፡ ሰገል፡ ከመ፡ ይምጽአ፡ ኀቤሁ።,TRUE
EMML (HMML) 1606,1-C,1,C,,በእንተ፡ ዘከመ፡ አስተርአየቶ፡ ለቴዎፍሎስ፡ ሊቀ፡ ጳጳሳት፡ ወዘከመ፡ ተናገረቶ፡ ወአጽንዓቶ፡ እምድካመ፡ ፍኖት።.... ወእምዝ፡ በጻሕነ፡ ሀገረ፡ ሳምኖን፡ ውስተ፡ ቀዳሚ፡ አንቀጽ፡ ማኅፈድ፡ ዘ፬፡ መዓዝኒሁ፡ ወይትሌዓል፡ እምሀገር።,TRUE
EMML (HMML) 6938,2,2,,,በእንተ፡ ዘከመ፡ አስተርአየቶ፡ ለቴዎፍሎስ፡…. እምድካመ፡ ፍኖት፡…. ወእንዘ፡ ከመዝ፡ አስተርአዮ፡ ሰይጣን፡ ለሄሮድስ፡ ቃለ፡ በቃል,TRUE
EMML (HMML) 6938,3,3,,,በእንተ፡ ዘከመ፡ አስተርአየቶ፡ ለቴዎፍሎስ፡…. እምድካመ፡ ፍኖት፡…. ወእንዘ፡ ይነውም፡ ዮሴፍ፡ በሌሊት፡ አስተርአዮ፡ መልአከ፡ እግዚአብሔር,TRUE
EMML (HMML) 2058,4,4,,,ወሀሎ፡ አሐዱ፡ ብእሲ፡ በሀገር፡ ዘሳሙ፡ ዲያቆን፡ ውእቱ፡ ዘስሙ፡ ሚካኤል፡ ወያፈቅራ፡ ለእግዝእትነ፡…. ብዙኀ፡ ወይትለአካ፡ በኵሉ፡ ኀይሉ፡ ዐጣር፡ ዘውእቱ፡ ሠያጤ፡ እምኵሉ፡ መባልዕት,TRUE
EMML (HMML) 6938,5,5,,,ወሀሎ፡ አሐዱ፡ ብእሲ፡ በሀገረ፡ አፍርንጊ፡ እምአድያመ፡ አፍራንሳ፡ ዘያፈቅራ፡ ለእግዝእትነ፡…. እምንእሱ፡ ወይትለአካ፡ በኵሉ፡ ኀይሉ። ወሶበ፡ በጽሐ፡ አምጣነ፡ አውስቦ፡ አስተዋሰብዎ፡ አበዊሁ፡ ወለተ፡ እምአውላደ፡ አፍርንጊ,TRUE
EMML (HMML) 6938,6,6,,,ወኮነ፡ በ፲፻፡ ወ፻፡ ወ፳፡ ዓመተ፡ ሰማዕታት፡ ንጹሓን፡ በመዋዕሊሁ፡ ለአብ፡ እግዚእ፡ ሊቀ፡ ጳጳሳት፡ አባ፡ ማቴዎስ፡ ወኮነ፡ በሀገረ፡ ምስር፡ ረሓብ፡ ዐቢይ,TRUE
EMML (HMML) 2378,7,7,,EMML (HMML) 2378,ወሀሎ፡ አሐዱ፡ ብእሲ፡ መነኮስ፡ በደብረ፡ አባ፡ ሳሙኤል፡ ዘቀልሞን፡ ወያፈቅራ፡ ለእግዝእትነ፡ ማርያም፡ ወያነብብ፡ ወትረ፡ ተአምኆተ፡ መልአክ፡ ሌሊተ፡ ወመዐልተ። ወዝንቱሰ፡ ብእሲ፡ ኢይጸውም፡ ወኢይጼሊ፡ ወይትሜሰል፡ ከመ፡ አብድ፡ ወእንቡዝ,TRUE
EMML (HMML) 6938,7,7,,EMML (HMML) 6938,ወሀሎ፡ በደብረ፡ ቅዱስ፡ ዐቢይ፡ አባ፡ ሳሙኤል፡ ዘቀልሞን፡ ቤተ፡ ክርስቲያን፡ ሠናይት፡ በስመ፡ እግዝእትነ፡…. ወኮነ፡ ውስተ፡ ዛቲ፡ ቅድስት፡ ቤተ፡ ክርስቲያን፡ ሥዕል፡ ዐቢይ፡ ወመንክር,TRUE
EMML (HMML) 6938,8,8,,,ወኮነ፡ በአሐዱ፡ እምመዋዕል፡ ሖሩ፡ ሰብእ፡ መነኮሳት፡ እምደብረ፡ አባ፡ ሳሙኤል፡ ዘቀልሞን፡ ለፈጽሞ፡ መፍቅደ፡ ደብር,TRUE
EMML (HMML) 6938,9,9,,,ወሀሎ፡ በዝንቱ፡ ደብረ፡ ቀልሞን፡ ዘቅዱስ፡ አባ፡ ሳሙኤል፡ ብእሲ፡ ዘይሰመይ፡ ያዕቆብ፡ ሐፂር፡ ዘአድኀነቶ፡ እግዝእትነ፡…. እምማእሰረ፡ ዐረብ,TRUE
EMML (HMML) 6938,10,10,,,ወሀሎ፡ አሐዱ፡ ብእሲ፡ በሀገረ፡ ስዒድ፡ በደብረ፡ እንጽና፡ ቤተ፡ ክርስቲያን፡ በስመ፡ እግዝእትነ፡…. ወእስከ፡ ይእዜ፡ ሀሎ፡ ወኵሉ፡ አሐዱ፡ አሐዱ፡ የአምሮ፡ ወይሰመይ፡ ምኔተ፡ አቡ፡ ንዕናእ,TRUE
EMML (HMML) 6938,11,11,,,ወኮነ፡ በመዋዕለ፡ እግዚእ፡ ክቡር፡ ሊቀ፡ ጳጳሳት፡ አባ፡ ገብርኤል፡ ሰማንያ፡ ወሰመንቱ፡ እምሊቃነ፡ ጳጳሳት፡ ዘእለእስክንድርያ፡ ብእሲ፡ ሊቅ፡ በደብረ፡ ቅዱስ፡ ዐቢይ፡ ሳሙኤል፡ ዘቀልሞን፡ ዘስሙ፡ ሰሎሞን,TRUE
EMML (HMML) 6938,12,12,,,ወኮነ፡ በመዋዕለ፡ አብ፡ ክቡር፡ ሊቀ፡ ጳጳሳት፡ አባ፡ ገብርኤል፡ ወልደ፡ ተሪክ፡ ወበጽሖ፡ ለዝንቱ፡ ሊቀ፡ ጳጳሳት፡ በአስ፡ ወጸልእ፡ ምስለ፡ ሕዝቡ,TRUE
EMML (HMML) 2275,13,13,,,ተብህለ፡ ከመ፡ ሀሎ፡ በውስተ፡ ቤተ፡ ክርስቲያን፡ ዘጥልጥልያ፡ ኤጲስ፡ ቆጶስ፡ ዘስሙ፡ ደቅስዮስ፡ ወኮነ፡ ብእሴ፡ ቡሩከ፡ ወኄረ፡ ወፈራሄ፡ እግዚአብሔር,TRUE
EMML (HMML) 6938,14,14,,,ስምዑ፡ አበውየ፡ ወአኀውየ፡ ከመ፡ ንንግርክሙ፡ ተአምረ፡ ዐባየ፡ ዘኮነ፡ ለእግዝእትነ፡…. ዘነገሩ፡ አበው፡ ቅዱሳን፡ ሰማዕትየ፡ እግዚአብሔር፡ ከመ፡ ኢይዌስክ፡ ወኢያነትግ። ይቤሉነ፡ ነበረ፡ በምድረ፡ ሶርያ፡ ብእሲ፡ ለብሓዊ፡ ፈራሄ፡ እግዚአብሔር,TRUE
EMML (HMML) 6938,15,15,,,ወሀሎ፡ በአሐቲ፡ ሀገር፡ እምአህጉረ፡ ጽዒድ፡ እምሢመተ፡ ኤጲስ፡ ቆጶሳት፡ ቤተ፡ ክርስቲያን፡ በስመ፡ እግዝእትነ፡…. ወሀሎ፡ በዛቲ፡ ቤተ፡ ክርስቲያን፡ ብእሲ፡ አምኑት፡ ዘውእቱ፡ ዐቃቤ፡ ቤተ፡ ክርስቲያን,TRUE
EMML (HMML) 5520,16,16,,EMML (HMML) 5520,ወኮነ፡ በአሐዱ፡ እምመዋዕል፡ ሖሩ፡ ኀበ፡ ምድረ፡ ሪፍ፡ ሠለስቱ፡ ሰብእ፡ ዐረባውያን፡ እንዘ፡ ምሉእ፡ ማየ፡ ተከዜ፡ ጥቀ,TRUE
EMML (HMML) 6938,16,16,,EMML (HMML) 6938,ወኮነ፡ በደብረ፡ ቀልሞን፡ ወሶበ፡ በዝኀ፡ ተአምሪ፡ ለእግዝእትነ፡…. ዘታስተርኢ፡ ውስተ፡ ሥዕል፡ ዘሀለወት፡ በደብረ፡ ቅዱስ፡ አባ፡ ሳሙኤል፡ ዘቀልሞን፡ ወፈድፋደሰ፡ ለዐረብ፡ እለ፡ ሀለዉ፡ ዐውዳ,TRUE
EMML (HMML) 6938,17,17,,,ወሀሎ፡ ብእሲ፡ ክርስቲያናዊ፡ ዲያቆን፡ እምሰብአ፡ መርግ፡ ወኬም፡ ወስሙ፡ ንኳል,TRUE
EMML (HMML) 6938,18,18,,,ወሀሎ፡ ብእሲ፡ በሀገረ፡ ናርዲን፡ ወተሠይመ፡ ቀሲሰ፡ በላዕለ፡ ቤተ፡ ክርስቲያን፡ ድንግል፡ ዘይእቲ፡ ሀገር,TRUE
EMML (HMML) 4205,19,19,,EMML (HMML) 4205,ወሀሎ፡ አሐዱ፡ መነኮስ፡ ኄር፡ ዘስሙ፡ ይስሐቅ፡ ወያፈቅራ፡ ለእግዝእትነ፡ ማርያም፡ ወእምንእሱ፡ ነበረ፡ በአሐቲ፡ ደብር፡ በመዋዕሊሁ፡ ለአባ፡ ገብርኤል,TRUE
EMML (HMML) 5520,19,19,,EMML (HMML) 5520,ወኮነ፡ በዝንቱ፡ ደብር፡ ቅዱስ፡ ዘዝኩር፡ በመዋዕሊሁ፡ ለአቡነ፡ አባ፡ ገብርኤል፡ ሊቀ፡ ጳጳሳት፡ ዘለእስክንድርያ፡ ብእሲ፡ መነኮስ፡ ቅዱስ፡ ወእምንእሱ፡ ነበረ፡ ህየ፡ ወስሙ፡ ይስሐቅ,TRUE
EMML (HMML) 6938,20,20,,,ወሀለወት፡ አሐቲ፡ ብእሲት፡ እምአንስተ፡ ዐረብ፡ ወባቲ፡ ውሕዘተ፡ ደም፡ እምብዙኅ፡ ዓመታት,TRUE
EMML (HMML) 6938,21,21,,,ወሀሎ፡ በቤተ፡ ክርስቲያነ፡ ቅድስት፡ ወብፅዕት፡ ንጽሕት፡ ወልዕልት፡ እምሰማዕታት፡ በርባራ፡ ብእሲ፡ ዘይሰመይ፡ ዮሐንስ,TRUE
EMML (HMML) 6938,22,22,,,ወሀለወት፡ ቤተ፡ ክርስቲያን፡ ወዓዲ፡ ሥዕል፡ በስመ፡ እግዝእትነ፡…. በገቦ፡ ንድቅ፡ ዘየማን,TRUE
EMML (HMML) 6938,23,23,,,ወሀለዉ፡ ክልኤቱ፡ መነኮሳት፡ ቡሩካን፡ እምድብረ፡ ሰማዕት፡ ማር፡ ፊቅጦር፡ በማኅፈደ፡ ናርቆን,TRUE
EMML (HMML) 2058,24,24,,,ወኮነ፡ በአሐዱ፡ እምመዋዕል፡ እንዘ፡ ይገብሩ፡ በዐላ፡ ለእግዝእትነ፡…. በሀገረ፡ አትሪብ፡ አመ፡ ፳፡ ወ፩፡ ለውርኀ፡ ሰኔ፡ ቅዳሴ፡ ቤተ፡ ክርስቲያና፡ ቅድስት፡ በሀገረ፡ ፊልጵኢስ,TRUE
EMML (HMML) 6938,25,25,,,ወሀለወት፡ ብእሲት፡ መሃይምንት፡ ቅድስት፡ ወቡርክት፡ ወተኀድር፡ በአሐዱ፡ ሀገር፡ እምአህጉራተ፡ ታሕታይ፡ ግብጽ፡ ዘትሰመይ፡ ስምባጥ,TRUE
