Manuscript,IMG or Folio?,IMG/Folio Start,Column Start,Line Start,Body of Story Start,IMG/Folio End,Column End,Line End,Miracle Number,Incipit,Number of Paintings,Story Incomplete,Blank TM folios,Notes
EMDA (HMML) 153,,,,,,,,,1,,,,,
EMDA (HMML) 153,,,,,,,,,2,,,,,
EMDA (HMML) 153,,,,,,,,,3,,,,,
EMDA (HMML) 153,,,,,,,,,4,,,,,
EMDA (HMML) 153,,,,,,,,,5,,,,,
EMDA (HMML) 153,,,,,,,,,6,,,,,
EMDA (HMML) 153,,,,,,,,,7,,,,,
EMDA (HMML) 153,,,,,,,,,8,,,,,
EMDA (HMML) 153,,,,,,,,,9,,,,,
EMDA (HMML) 153,,,,,,,,,10,,,,,
EMDA (HMML) 153,,,,,,,,,11,,,,,
EMDA (HMML) 153,,,,,,,,,12,,,,,
EMDA (HMML) 153,,,,,,,,,13,,,,,
EMDA (HMML) 153,,,,,,,,,14,,,,,
EMDA (HMML) 153,,,,,,,,,15,,,,,
EMDA (HMML) 153,,,,,,,,,16,,,,,
EMDA (HMML) 153,,,,,,,,,17,,,,,
EMDA (HMML) 153,,,,,,,,,18,,,,,
EMDA (HMML) 153,,,,,,,,,19,,,,,
EMDA (HMML) 153,,,,,,,,,20,,,,,
EMDA (HMML) 153,,,,,,,,,21,,,,,
EMDA (HMML) 153,,,,,,,,,22,,,,,
EMDA (HMML) 153,,,,,,,,,23,,,,,
EMDA (HMML) 153,,,,,,,,,24,,,,,
EMDA (HMML) 153,,,,,,,,,25,,,,,
EMDA (HMML) 153,,,,,,,,,26,,,,,
EMDA (HMML) 153,,,,,,,,,27,,,,,
EMDA (HMML) 153,,,,,,,,,28,,,,,
EMDA (HMML) 153,,,,,,,,,29,,,,,
EMDA (HMML) 153,,,,,,,,,30,,,,,
EMDA (HMML) 153,,,,,,,,,31,,,,,
EMDA (HMML) 153,,,,,,,,,32,,,,,
EMDA (HMML) 153,,,,,,,,,33,,,,,
EMDA (HMML) 153,,,,,,,,,34,,,,,
EMDA (HMML) 153,,,,,,,,,35,,,,,
EMDA (HMML) 153,,,,,,,,,36,,,,,
EMDA (HMML) 153,,,,,,,,,37,,,,,
EMDA (HMML) 153,,,,,,,,,38,,,,,
EMDA (HMML) 153,,,,,,,,,39,,,,,
EMDA (HMML) 153,,,,,,,,,40,,,,,
EMDA (HMML) 153,,,,,,,,,41,,,,,
EMDA (HMML) 153,,,,,,,,,42,,,,,
