Manuscript,IMG Start,Column Start,Line Start,Body of Story Start,IMG End,Column End,Line End,Miracle Number,Incipit,Number of Paintings,Story Incomplete,Blank TM folios,Notes
EMDA (HMML) 180,,,,,,,,1,,,,,
EMDA (HMML) 180,,,,,,,,2,,,,,
EMDA (HMML) 180,,,,,,,,3,,,,,
EMDA (HMML) 180,,,,,,,,4,,,,,
EMDA (HMML) 180,,,,,,,,5,,,,,
EMDA (HMML) 180,,,,,,,,6,,,,,
EMDA (HMML) 180,,,,,,,,7,,,,,
EMDA (HMML) 180,,,,,,,,8,,,,,
EMDA (HMML) 180,,,,,,,,9,,,,,
EMDA (HMML) 180,,,,,,,,10,,,,,
EMDA (HMML) 180,,,,,,,,11,,,,,
EMDA (HMML) 180,,,,,,,,12,,,,,
EMDA (HMML) 180,,,,,,,,13,,,,,
EMDA (HMML) 180,,,,,,,,14,,,,,
EMDA (HMML) 180,,,,,,,,15,,,,,
EMDA (HMML) 180,,,,,,,,16,,,,,
EMDA (HMML) 180,,,,,,,,17,,,,,
EMDA (HMML) 180,,,,,,,,18,,,,,
EMDA (HMML) 180,,,,,,,,19,,,,,
EMDA (HMML) 180,,,,,,,,20,,,,,
EMDA (HMML) 180,,,,,,,,21,,,,,
EMDA (HMML) 180,,,,,,,,22,,,,,
EMDA (HMML) 180,,,,,,,,23,,,,,
EMDA (HMML) 180,,,,,,,,24,,,,,
EMDA (HMML) 180,,,,,,,,25,,,,,
EMDA (HMML) 180,,,,,,,,26,,,,,
EMDA (HMML) 180,,,,,,,,27,,,,,
EMDA (HMML) 180,,,,,,,,28,,,,,
EMDA (HMML) 180,,,,,,,,29,,,,,
EMDA (HMML) 180,,,,,,,,30,,,,,
EMDA (HMML) 180,,,,,,,,31,,,,,
EMDA (HMML) 180,,,,,,,,32,,,,,
EMDA (HMML) 180,,,,,,,,33,,,,,
EMDA (HMML) 180,,,,,,,,34,,,,,
EMDA (HMML) 180,,,,,,,,35,,,,,
EMDA (HMML) 180,,,,,,,,36,,,,,
EMDA (HMML) 180,,,,,,,,37,,,,,
EMDA (HMML) 180,,,,,,,,38,,,,,
EMDA (HMML) 180,,,,,,,,39,,,,,
EMDA (HMML) 180,,,,,,,,40,,,,,
EMDA (HMML) 180,,,,,,,,41,,,,,
EMDA (HMML) 180,,,,,,,,42,,,,,
EMDA (HMML) 180,,,,,,,,43,,,,,
