Macomber ID,Macomber Incipit,Manuscript for Macomber Incipit,Link,Notes and alternate forms of incipit by a few letters
1-A,በእንተ፡ ዘከመ፡ አስተርአየቶ፡ ለቴዎፍሎስ፡ ሊቀ፡ ጳጳሳት፡ ወዘከመ፡ ተናገረቶ፡ ወአጽነዐቶ፡ እምደካመ፡ ፍኖት። ይቤ፡ ቴዎፍሎስ፡ ሊቀ፡ ጳጳሳት፡ ስምዑ፡ አበውየ፡ ወአኀውየ፡ ዘእነግረክሙ፡ በፍርሃት፡ ወበረዓድ፡ ወበሃይማኖት፡ ርትዕት,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
1-B,ወበይእቲ፡ ዕለት፡ ሞተ፡ ስምዖን፡ ካህን፡ አረጋዊ። ወነበረ፡ ሄሮድስ፡ ፪፡ ዓመተ፡ እንዘ፡ ይጸንሖሙ፡ ለሰብአ፡ ሰገል,EMML (HMML) 1606,,
1-C,ወእምዝ፡ በጽሐ፡ ሀገረ፡ ሳምኖን፡ ውስተ፡ ቀዳሚ፡ አንቀጽ፡ ማኅፈድ፡ በ፬፡ መዓዝኒሁ፡ ወይትሌዓል፡ እምኵሉ፡ ሀገር,EMML (HMML) 1606,,
2,በእንተ፡ ዘከመ፡ አስተርአየቶ፡ ለቴዎፍሎስ፡…. እምድካመ፡ ፍኖት፡…. ወእንዘ፡ ከመዝ፡ አስተርአዮ፡ ሰይጣን፡ ለሄሮድስ፡ ቃለ፡ በቃል,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
3,በእንተ፡ ዘከመ፡ አስተርአየቶ፡ ለቴዎፍሎስ፡…. እምድካመ፡ ፍኖት፡…. ወእንዘ፡ ይነውም፡ ዮሴፍ፡ በሌሊት፡ አስተርአዮ፡ መልአከ፡ እግዚአብሔር,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
4,ወሀሎ፡ አሐዱ፡ ብእሲ፡ በሀገር፡ ዘሳሙ፡ ዲያቆን፡ ውእቱ፡ ዘስሙ፡ ሚካኤል፡ ወያፈቅራ፡ ለእግዝእትነ፡…. ብዙኀ፡ ወይትለአካ፡ በኵሉ፡ ኀይሉ፡ ዐጣር፡ ዘውእቱ፡ ሠያጤ፡ እምኵሉ፡ መባልዕት,EMML (HMML) 2058,,
5,ወሀሎ፡ አሐዱ፡ ብእሲ፡ በሀገረ፡ አፍርንጊ፡ እምአድያመ፡ አፍራንሳ፡ ዘያፈቅራ፡ ለእግዝእትነ፡…. እምንእሱ፡ ወይትለአካ፡ በኵሉ፡ ኀይሉ። ወሶበ፡ በጽሐ፡ አምጣነ፡ አውስቦ፡ አስተዋሰብዎ፡ አበዊሁ፡ ወለተ፡ እምአውላደ፡ አፍርንጊ,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
6,ወኮነ፡ በ፲፻፡ ወ፻፡ ወ፳፡ ዓመተ፡ ሰማዕታት፡ ንጹሓን፡ በመዋዕሊሁ፡ ለአብ፡ እግዚእ፡ ሊቀ፡ ጳጳሳት፡ አባ፡ ማቴዎስ፡ ወኮነ፡ በሀገረ፡ ምስር፡ ረሓብ፡ ዐቢይ,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
7,ወሀሎ፡ በደብረ፡ ቅዱስ፡ ዐቢይ፡ አባ፡ ሳሙኤል፡ ዘቀልሞን፡ ቤተ፡ ክርስቲያን፡ ሠናይት፡ በስመ፡ እግዝእትነ፡…. ወኮነ፡ ውስተ፡ ዛቲ፡ ቅድስት፡ ቤተ፡ ክርስቲያን፡ ሥዕል፡ ዐቢይ፡ ወመንክር,EMML (HMML) 6938,https://www.vhmml.org/readingRoom/view/200563,
7,ወሀሎ፡ አሐዱ፡ ብእሲ፡ መነኮስ፡ በደብረ፡ አባ፡ ሳሙኤል፡ ዘቀልሞን፡ ወያፈቅራ፡ ለእግዝእትነ፡ ማርያም፡ ወያነብብ፡ ወትረ፡ ተአምኆተ፡ መልአክ፡ ሌሊተ፡ ወመዐልተ። ወዝንቱሰ፡ ብእሲ፡ ኢይጸውም፡ ወኢይጼሊ፡ ወይትሜሰል፡ ከመ፡ አብድ፡ ወእንቡዝ,EMML (HMML) 2378,https://www.vhmml.org/readingRoom/view/204207,
