Order,Painting ID,Canonical Story ID,Recension ID,Manuscript,Manuscript Link,Image Link,Painting Number,Painting folio,Painting scan,Number of Episodes,Episode Number,Episode Description,Episode Location,Episode Keywords,Episode Caption,Episode Notes,Featured Story Image,Countif Unique Manuscript,IIIF?,Total Manuscripts with this Story ID illustrated,Story ID + Manuscript ID + Painting Number + Painting folio + Painting scan (technical column),Total Story ID Paintings,Total Manuscript Paintings
1682,916,0,,C-Dublin (CBL) 951,images in PEMM Dropbox,,1,v v,7a,1,1,11. Motherhood: Madonna and child,full,,Michael; With her beloved Son; Gabriel,,FALSE,1,,217,0 C-Dublin (CBL) 951 1 v v 7a,518,1
1365,600,0,,B-Gayant (EOTC) 1,images in PEMM Dropbox,,1,1,,1,1,3. Childhood: Mary as an infant held by Yoachim and Hanna,full,,Icon of Saint Hanna and Yoachim...,,FALSE,1,,217,0 B-Gayant (EOTC) 1 1 1 ,518,9
1366,601,0,,B-Gayant (EOTC) 1,images in PEMM Dropbox,,1,25,,1,1,4. Childhood: Bringing Mary to temple (related to ID 316D),full,,Icon of Saints [...] how they brought our Lady Mary into the temple and they entrusted her to Zacharias the priest; Hanna and Yoachim and one virgin with them; Zacharias the priest,,FALSE,1,,217,0 B-Gayant (EOTC) 1 1 25 ,518,9
1367,602,0,,B-Gayant (EOTC) 1,images in PEMM Dropbox,,1,45,,1,1,8. Annunciation: St Gabriel appears to Mary sewing or spinning,full,,How Gabriel announced to Mary she will incarnate the only-begotten Son,,FALSE,1,,217,0 B-Gayant (EOTC) 1 1 45 ,518,9
1368,603,0,,B-Gayant (EOTC) 1,images in PEMM Dropbox,,1,77,,1,1,12. Holy Family: Flight to Egypt,full,,How Joseph and Mary and Salome went while carrying the child and they fled into the land of Egypt,,FALSE,1,,217,0 B-Gayant (EOTC) 1 1 77 ,518,9
1369,604,0,,B-Gayant (EOTC) 1,images in PEMM Dropbox,,1,161,,1,1,13. Holy Family: At Dabra Qwasqwam,full,,How our Lady Mary dwelt with her beloved Son at Dabra Qwasqwam with Joseph and Salome,,FALSE,1,,217,0 B-Gayant (EOTC) 1 1 161 ,518,9
1370,605,0,,B-Gayant (EOTC) 1,images in PEMM Dropbox,,1,213,,1,1,25. Crucifixion: Mary at the cross,full,,How they crucified our Lord between two thieves and how the son and the moon hid their light and how Mary and John wept,,FALSE,1,,217,0 B-Gayant (EOTC) 1 1 213 ,518,9
1371,606,0,,B-Gayant (EOTC) 1,images in PEMM Dropbox,,1,229,,1,1,"33. Ascension: Saint John and Barkowors, his assistant, writing all that they saw of the ascension of our lady Mary",full,,"Icon of Saint John and Barkoros, his assistant, while writing all that they saw of the ascension of our Lady Mary",,FALSE,1,,217,0 B-Gayant (EOTC) 1 1 229 ,518,9
1372,607,0,,B-Gayant (EOTC) 1,images in PEMM Dropbox,,1,271,,1,1,37. Dormition: apostles gather around the body,full,,"How our Lord buried his mother, the Virgin, with the twelve disciples",,FALSE,1,,217,0 B-Gayant (EOTC) 1 1 271 ,518,9
1373,608,0,,B-Gayant (EOTC) 1,images in PEMM Dropbox,,1,425,,1,1,11. Motherhood: Madonna and child,full,,Icon of our Lady Mary with her beloved son and how the nun asked on behalf of her son,Related to ID 152?,FALSE,1,,217,0 B-Gayant (EOTC) 1 1 425 ,518,9
