Macomber ID,Plot Edited
4,"Michael was a deacon and a grocer. His neighbor, a zealous Muslim, wanted to challenge Michael’s devotion, so one day he came to the grocer and asked for sugar. The Muslim gave the grocer a ring to keep for three days until he could pay. When the grocer turned his back, the Muslim man took the ring, then threw it in the river. Unaware that the ring was gone, the grocer closed his shop. That evening, the grocer’s servant brought home a freshly caught fish for the family meal, and inside the fish was the ring. When the grocer returned the ring and explained how he had found it inside a fish, the Muslim man converted and became a monk."
7,"In the monastery of Abbâ Samuel of Kalman |sp| there was a secretly devout monk who fasted and prayed regularly but who, out of humility, pretended not to. The other monks treated him with contempt. On the Feast of the Nativity of Mary, the abbot of the monastery prevented the monk from taking the Eucharist. During the ceremony the monk turned to a famous icon of Mary and pleaded for assistance. He then removed his skullcap, and when he struck the wall with it, the stone split open. The monk slipped through and disappeared, leaving his skullcap behind as the wall resealed. When the archbishop heard of this miracle, he asked for the holy relic. The bishop attempted to deliver the skullcap, but he lost it on the way. When he returned to the monastery, the skullcap was there. The bishop tried twice more, but the skullcap always returned to where the monk had disappeared."
9,"An Arab, under Satan’s influence, stole a pair of scissors belonging to the devout tailor Jacob the Short |sp|, who sewed items for the monastery of Qaləmon of Saint Abbâ Samuel |sp|. When he saw that the scissors were gone, Jacob the Short prayed to the Virgin Mary for their return. Meanwhile, as the Arab man left the monastery, he pulled out the scissors from his pocket, and they turned into a snake. When he released the snake, it turned back into the scissors. Scared, he buried the scissors and marked the spot with a stone. The Arab man then fell ill for seven months. One night the Virgin Mary came into his dreams and revealed the cause of his sickness. The next day he retrieved the buried scissors and returned to the monastery. The Arab recounted his experiences to the monks, then he converted to Christianity and was cured of his illness."
10,"A superior known as Abbâ Enâ |sp| faithfully served his monastery in Upper Egypt for many years, then was renamed Bishop Raphael. Despite being authorized to give confession, Raphael worried that others’ sins would affect his soul, so he refused to perform his duty. Troubled by Raphael’s refusal, the patriarch, Abbâ Matthew, prayed to the Virgin Mary. Mary appeared to the bishop in a dream, told him to obey the patriarch, and struck her chest with her palm. Raphael awoke with a hand print on his chest, and from then on he heard confession. When a great sinner came for confession, Bishop Raphael placed him in a cell and threw the key in a river. The sinner languished in the cell for three years with only water, bread, and salt to sustain him. Nearing death, he begged his wife to bring him fish to eat. His wife paid a fisherman catch her a fish, and she found the key to her husband's cell inside the fish's mouth. Raphael used the key to free the sinner, who went on to live a holy life."
13,"Bishop Dexius (Hildephonsus) |sp|, of the church in Teltelya |sp| (Toledo, Spain), was working on a book recounting the miracles of the Virgin Mary. When he was almost finished writing the book, Mary appeared to him, examined his work with pleasure, and blessed him. Dexius then established a new feast day in Mary's honor, to take place before the Nativity. The people of the town celebrated the festival joyfully."
14,"In Syria there was a potter who feared God and loved the Virgin Mary. Every evening for six days, Mary visited and blessed him. After each blessing, inspired with the Holy Spirit, the potter recited hymns of praise in her honor. On the seventh day, the potter fell asleep after drinking wine. Mary visited him at midnight and demanded to know why he had not composed anything for her, on the very day when he should have the most praise. The potter replied that it was Sunday, when men are commanded not to work. Mary told the potter to go to the place where he works on his pottery, and to say whatever words came to him there. The potter obeyed Mary, and once in the place of his daily labor he praised her through the night. Pleased, Mary promised the potter never-ending joy in Heaven."
16,"Three Arabs were sailing up the Nile, when they encountered rough weather. Two of the Arabs prayed to the Virgin Mary, and the third mocked them for their supplications. Just then, the sea swelled and a crocodile swallowed the third sailor. The two surviving Arabs again prayed to Mary, soon after which a passing ship rescued them. When they reached land, the survivors travelled to the monastery of Kalmon |sp| and presented the monks there with a camel laden with gifts of dates and wool."
19,"A holy monk named Isaac |sp| secretly prayed to Mary each night in the church alone. One night, after seven years of clandestine prayer, the Virgin Mary appeared to him and promised that he would join her in Heaven within three days. The next day Isaac fell ill, and the Bishop Abraham delivered his last rites. When Isaac died, Mary fulfilled her promise and gave him life everlasting."
23,"There were two brothers: Sadaqâ |sp| the priest, and Peter |sp| the deacon. One night, when the brothers were away from their monastery, they went to the town of Elkos |sp|, where there was a church consecrated in the Virgin Mary’s name. Near the church the brothers encountered an old man who struck Sadaqâ and robbed him. Inside the church, Sadaqâ prayed to an icon of Mary, asking her to punish the thief. Sadaqâ found the old man outside the church; he had broken both wrists while trying to enter. Sadaqâ reclaimed his stolen belongings, and when the old man pleaded for mercy, the priest refused. A group onlookers went to pray on the old man’s behalf before the icon of Mary. But Mary, speaking through the icon, said the old man did not deserve mercy. She prophesied that the old man would die in three days, and that he would suffer eternal torture. What she said came true, and when the old man died the townspeople rejoiced."
25,"A generous and religious woman invited an Ethiopian priest named Clement |sp| into her home as he traveled from Ethiopia to Jerusalem on a pilgrimage to the tomb of Christ. While he stayed, she served him and showed considerable hospitality. The priest, who was extremely devout, prayed and remained covered while reading the book of miracles of the Virgin Mary. One night, as the priest was reading, the woman witnessed a luminous lady appear and then disappear as soon as the priest closed his book. This vision made the woman love the priest and serve him even more than before. When the priest decided to continue with his journey, the woman asked to accompany him. They traveled together to Jerusalem, where they visited important sites. When she died, the woman was buried near Mount Zion. The priest lived on and made another pilgrimage to Jerusalem, where he died. He, too, was buried near Mount Zion."
27,"In Dafra |sp|, a child named Mary was left at home while her two brothers went to make their offering at the festival of the Nativity. In desperation, the child prayed to the Virgin Mary, who appeared and carried the child to the church where she could make her offering. Mary also promised the child that they would be together in Heaven within three days. Three days later the child died. A God-fearing man from Dafra had a vision of the child dressed in purple, being led away by the Virgin Mary."
30,"In the country of Afrurgi |sp| (Aragon, Spain), there was a poor man who lacked basic necessities. Each day, after the miners at a nearby gold mine went home for the day, he snuck in and collected scraps of gold. This man and his wife both devoted themselves to the Virgin Mary, and despite their desperate situation they made daily offerings to the church consisting of bread, wine, candles, and incense. One night the mine collapsed on the man, but two stone pillars saved his life. The man’s wife, who thought her husband dead, continued to make offerings to the church to secure his salvation, but each day her offerings mysteriously vanished from the church. Twelve days after the man’s disappearance, miners excavated the collapsed mine and found the man alive. He explained that, for each day of his confinement, the Virgin Mary had brought him bread, wine, candles, and incense. The priests realized that Mary had delivered him the offerings his wife had laid before the church."
31,"Two men were appointed to the king’s service. One man guarded the king’s treasures, and the other served as the king’s envoy. Although both men held important positions, the guardian grew jealous of the envoy. He told his companion to cover his mouth when speaking to the king, since the king found his breath revolting. Likewise, the guardian told the king that the envoy had complained that the king had bad breath. The next time the king spoke with the envoy he saw the man cover his mouth, and he grew furious. The king sent a servant to light the furnace, and told him to throw into the fire the first man who came and asked a specific question: “Have you done that which I told you to do?” The king then sent the envoy to ask the servant this question. On the way, the envoy stopped at a church to pray to an icon of the Virgin Mary, and there he fell asleep. Meanwhile, the king sent the guardian to ask the servant whether he had completed his task. When he arrived and asked his question, the servant threw him into the furnace. The next morning, the envoy awoke at the church and rushed to the furnace. When he asked the servant, “Have you done that which I told you to do?,” the servant assented. The envoy’s safe return revealed the truth of the guardian’s misdeed, and the king rejoiced at the justice brought by the Virgin Mary."
33,"A skillful painter was painting a fresco of the Virgin Mary on a stone wall in a church. He painted her with great care, and everyone who saw it was astonished by the painting’s beauty. He then painted other frescoes that depicted Heaven and Hell. When Satan saw the image the artist had painted of Hell, he grew enraged and toppled the scaffolding on which the painter stood. The painter prayed to Mary to save him, and A band of light immediately shot forth from the first fresco. Mary’s arm stretched out from the painting and caught the painter in mid-air. He remained suspended in the air for an hour, and as he called out for help people assembled and witnessed the miracle. Mary then lowered the man to the ground, and the people rejoiced."
36,"A poor camel driver was employed to deliver foodstuffs to the monastery of Däbrä Metmaq |sp|, but he often stole some of the food. Knowing he was poor, the monks showed patience and hoped the camel driver would change his ways. One year, as a festival for the monastery approached, the monks employed the camel driver to transport donated goods from Cairo. The camel driver took some of the goods for himself, leaving the monastery with insufficient food for the festival. Disappointed, the monks prayed to the Virgin Mary. Outside the church, a Muslim man looked on as Mary exited the church, stabbed the camel driver with a staff in the shape of a cross, and reentered the church. Following this vision, the Muslim begged the monks to baptize him into the Christian faith, and to entrust him with their camels. The monks assented. One day the new camel driver saw a bright light, and two shining men appeared with incense. He told the monks what he had seen, and when they went to the church and smelled the incense, they believed the camel driver."
38,"The son of a Muslim king, placed in charge of the kingdom by his father, ruled by tormenting Christians and devastating monasteries and churches. One day he entered a monastery and blasphemed by threatening to remove an icon of the Virgin Mary. When he returned home he experienced a frightening dream. In this dream he was stabbed in the side as Jesus Christ looked on from his majestic throne. When he awoke, he told this to his father about his dream and then fell ill. The king's son died, and the king died shortly thereafter, leaving the town to celebrate the demise of their oppressors."
40,"An angel of God appeared to the Virgin Mary’s husband, Joseph, and told him to take Jesus and his mother to Egypt. They went lived in Egypt for three years and seven months, until Herod died. Then an angel told them to return to Jerusalem. As the family left Egypt, they passed through the city of the bath, where Jesus made a fountain of water spring up on the eighth day of the month of Säne |sp|. To this day, people from every country come to the fountain and make intercessions to the Virgin Mary."
41,"A devout old woman helped to collect donations for the Church of Lady Mary from the believers in her town. One day a servant of the Church of Holy Saint George came to the old woman and asked her to supply his church with gifts. The old woman agreed, and gave the servant those gifts she had collected for the Church of Lady Mary. As the old woman slept that night, she was visited by the Virgin Mary, who was upset that the gifts had been given to a different church. When the old woman woke up, she was scared and recuperated the gifts she had given to the Church of Holy Saint George, in exchange for money. She offered the presents to Mary. Soon after she fell ill and died. Mary appeared and took her to Heaven."
43,"A priest named Yohannes (John) Bakansi |sp| lived in Cairo, in a church devoted to Saint Markoryos (Mercurius) |sp|. Yohannes was 100 years old, and he went blind the previous year. Every night for a year the priest waited for the monks to leave the church after midnight mass. He then prostrated before an image of the Virgin Mary and prayed for her to restore his sight. One night, while praising Mary before her image, Yohannes fell asleep. He dreamt that Mary appeared to him and dripped breastmilk into his eyes, restoring his sight. The priest praised Mary and recounted the miracle to the monks, who began to prostrate themselves before the image of Mary. Yohannes lived for twenty more years, then died in peace."
45,"Martha |sp| was a rich and kind woman who, inspired by the Gospel, built lodging for travelers. One day she heard that a monk was going to Jerusalem and begged him to bring back an icon of the Virgin Mary. When the monk was in Jerusalem, he commissioned Luke the Evangelist to paint the icon. While traveling back to Sedeneya |sp|, he encountered an angry lion and a band of marauders. Each time, the icon spoke and scared away the monk’s enemies. The monk decided to keep the icon for himself, and he boarded a ship that would take him home to Ethiopia. However, a great storm forced the ship to dock at Sedeneya. The monk stayed the night at Martha’s lodge, and in the morning he found he could not leave. Martha realized that something was affecting the monk, so she confronted him. He told her his story and gave her the icon. Overjoyed, Martha built a church to house the image, which shed tears and sweat that healed those who touched it. A holiday was established to commemorate the arrival of the icon in Sedeneya, on the tenth day of the month of Mäskäräm |sp|."
46,"The Virgin Mary appeared to a priest at the Akona |sp| monastery in Greece, near the sea. She instructed him to build a church for her at the water’s edge. For many years, she told this to the monk, and he informed his fellow monks of her wishes. However, the monks did not want to move the location of their monastery. One night, as the monks slept, the whole building moved to the edge of the stream. When the monks awoke and realized the monastery had moved, the let out cries of astonishment. The people of the city came to witness what had taken place, and they too stood in awe. Each year thereafter, on the thirteenth day of the month of Nähase |sp|, the town prepared a great feast, gave offerings, and distributed alms."
47,"A Muslim merchant, who was secretly the sultan of Egypt, set out for Greece by way of ship on the sea of 'Iyariko |sp|. When he arrived in Naples, the people of that city wished to know where he came from. The merchant said he came from the city of Muslims, and so the people of Naples brought him to the king of Ketalan |sp|. The king, insulted that a Muslim merchant wished to trade in Naples, imprisoned the man for seven years. One day, the merchant remembered a church in Greece built in the Virgin Mary’s honor, and on that day he vowed to Mary that he would convert to Christianity if she freed him from prison. Mary appeared to him in a dream and told him to loosen his fetters. When he awoke, the fetters binding his hands and feet came off. He left the prison and sailed to Jerusalem. He told his kinfolk in Gethsemane about his promise to the Virgin Mary. Then, fearing persecution, he left in the night. He traveled to Cyprus, where Mary appeared to him and a priest baptized him."
48,"A rich man from Kualasyas (Colosse) |sp| sought vengeance against a pirate who attacked him at sea. He joined forces with a group of Turks, but the pirate shot him with eleven arrows. Ten of the arrows struck his body, and the last one hit him in the eye. The Turks removed the arrows from his body, but the eleventh arrow got stuck, leaving the iron tip in his eye. The man told the Turks to bring him to a church on Colosse that was devoted to the Virgin Mary. Following a Greek custom, the Turks made a wax statue of the man with eleven arrows, which they used in their appeals to Mary to heal him. The rich man gave many gifts to the poor and to the church. When Mary saw this, she removed the arrow from the wax figure, and she plucked the iron tip from the man’s eye. The witnesses to this miracle marveled and praised Mary."
