Manuscript,Canonical Story ID,Recension ID,Canonical Story Title,Folio Start,Scan Start,Column Start,Line Start,Body of Story Start,Folio End,Scan End,Column End,Line End,Miracle Number,Incipit,Confidence Score,Incipit Full,Story Word Variation,Stanza,Story Incomplete,Blank TM folios,Number of Paintings,Painting Note,Notes,Exclude from ITool,Ethiopic Story Number,Miracles Sequence Number,Canonical Incipit,"Macomber Ms, non-Macomber Record",Paintings Folios,Story Paintings,Best Incipit Tool Match,Nonunique Incipit,Folio Start Number,Folio Start Letter,"English Translation for TGS 1994, Title for TGS 1996",Princeton Catalog Folios,Princeton Catalog Titles / TGS Titles,Manuscript Date Range Start        ,Manuscript Date Range End        ,Date Range Mean,Story Earliest Date Range Mean,Earliest Attestation Ms Name,Earliest Attestation All Mss Names,Incipit Typed,ID Ready,Record Excluded from ITool,Incipit is in the ITool,Incipit if marked Canonical,Canonical Incipit(s) for this ID,(Original column) Exclude from ITool,Same Story Theme?,Story Theme,Rowan Williams translation,Manuscript 2,ID count in a manuscript,Total Manuscripts
B-Oslo (SCOL) 248,400,,Jesus asks Mary what her greatest sorrow is and she replies saying these five sorrows,1v,,1,,,2r,,2,,1,,High,,,No,FALSE,,0,,,FALSE,,,FALSE,FALSE,,,,FALSE,,,,,,1600,1699,1650,1524,,EMML (HMML) 5520,0,1,FALSE,0,,,FALSE,FALSE,,FALSE,B-Oslo (SCOL) 248,1,1
B-Oslo (SCOL) 248,13,,The composition of the Miracles of Mary book by Bishop Hildephonsus of Toledo,3r,,1,,,5r,,2,,2,,High,,,No,FALSE,,2,"5v, 6r",,FALSE,,,FALSE,FALSE,,,,FALSE,,,,,,1600,1699,1650,1334,,V-Ar-Paris (BNF) 69,0,1,FALSE,0,,,FALSE,FALSE,,FALSE,B-Oslo (SCOL) 248,1,2
B-Oslo (SCOL) 248,187,,The peasant who complained to Saint Mary because she did not reply to his Hail Mary.,6v,,1,,,7r,,1,,3,,High,,,Yes,FALSE,,1,7v,,FALSE,,,FALSE,FALSE,,,,FALSE,,,,,,1600,1699,1650,1400,,EMML (HMML) 9002,0,1,FALSE,0,,,FALSE,FALSE,,FALSE,B-Oslo (SCOL) 248,1,2
B-Oslo (SCOL) 248,161,,The pious monk (or: the Jew from Akhmim) whom Saint Mary made young.,8r,,1,,,8v,,2,,4,,High,,,Yes,FALSE,,1,9r,,FALSE,,,FALSE,FALSE,,,,FALSE,,,,,,1600,1699,1650,1400,,EMML (HMML) 9002,0,1,FALSE,0,,,FALSE,FALSE,,FALSE,B-Oslo (SCOL) 248,1,2
B-Oslo (SCOL) 248,162,,The pious monk scribe who used to write Saint Mary's name in golden ink.,9v,,1,,,10r,,1,,5,,High,,,Yes,FALSE,,1,10v,,FALSE,,,FALSE,FALSE,,,,,,,,,,1600,1699,1650,1334,,V-Ar-Paris (BNF) 69,0,1,FALSE,0,,,FALSE,FALSE,,FALSE,B-Oslo (SCOL) 248,1,2
B-Oslo (SCOL) 248,163,,"The Muslim whom Saint Mary told to receive baptism and later, as Bishop of Rome, he cut off his hand because of a carnal thought.",11r,,1,,,11v,,2,,6,,High,,,Yes,FALSE,,1,12r,,FALSE,,,FALSE,FALSE,,,,,,,,,,1600,1699,1650,1400,,"EMML (HMML) 9002, EMML (HMML) 9002",0,1,FALSE,0,,,FALSE,FALSE,,FALSE,B-Oslo (SCOL) 248,1,2
B-Oslo (SCOL) 248,19,,"The monk, Yǝsḥaq, of Alexandria who prayed for seven years that Saint Mary would appear to him during the time of Patriarch Gabriel II of Alexandria (d. 1145)",13r,,1,,,14r,,1,,7,,High,,,Yes,FALSE,,1,14v,,FALSE,,,FALSE,FALSE,,,,FALSE,,,,,,1600,1699,1650,1451,,BOr (BL) 650,0,1,FALSE,0,,,FALSE,FALSE,,FALSE,B-Oslo (SCOL) 248,1,2
B-Oslo (SCOL) 248,27,,"Scete miracles: Maryam from Dǝfrā, a child who wanted to receive Communion but was shut up in the house when her family went to church, goes to heaven.",15r,,1,,,15v,,2,,8,,High,,,Yes,FALSE,,1,16v,,FALSE,,,FALSE,FALSE,,,,FALSE,,,,,,1600,1699,1650,1451,,BOr (BL) 650,0,1,FALSE,0,,,FALSE,FALSE,,FALSE,B-Oslo (SCOL) 248,1,2
B-Oslo (SCOL) 248,33,,The French artist who fell from the scaffolding while painting frescoes.,17r,,1,,,18r,,1,,9,,High,,,Yes,FALSE,,1,18v,,FALSE,,,FALSE,FALSE,,,,FALSE,,,,,,1600,1699,1650,1450,,"Davies (HMML) Marara, BOr (BL) 652",0,1,FALSE,0,,,FALSE,FALSE,,FALSE,B-Oslo (SCOL) 248,1,2
B-Oslo (SCOL) 248,54,,"Scete miracles: Saint Mary carries a dying monk, who prayed in front of her icon, to Jerusalem.",19r,,1,,,19v,,1,,10,,High,,,Yes,FALSE,,2,"19v, 20r",,FALSE,,,FALSE,FALSE,,,,FALSE,,,,,,1600,1699,1650,1450,,"Davies (HMML) Marara, BOr (BL) 652, BOr (BL) 652",0,1,FALSE,0,,,FALSE,FALSE,,FALSE,B-Oslo (SCOL) 248,1,2
