Manuscript,Canonical Story ID,Recension ID,Canonical Story Title,Folio Start,Scan Start,Column Start,Line Start,Body of Story Start,Folio End,Scan End,Column End,Line End,Miracle Number,Incipit,Confidence Score,Incipit Full,Story Word Variation,Story Incomplete,Blank TM folios,Number of Paintings,Painting Note,Notes,Exclude from ITool,Ethiopic Story Number,Miracles Sequence Number,Canonical Incipit,"Macomber Ms, non-Macomber Record",Best Incipit Tool Match,Nonunique Incipit,New Ms,Folio Start Number,Folio Start Letter,"Temporary English Translation for TGS 1994, to be moved when ID'd",Princeton Catalog Folios,Princeton Catalog Titles,Manuscript Date Range Start        ,Manuscript Date Range End        ,Story Century,Story Earliest Century,Incipit Typed,ID Ready
EMML (HMML) 6835,207,,The monk who saved the church of Saint Mary in Atrib by his prayers when its destruction had been ordered by the Caliph.,5r,,1,1,5ra l. 10,10v,,1,7,1,ንወጥን፡ በረድኤተ፡ እግዚአብሔር፡ ወበአኰቴተ፡ ስብሐቲሁ፨ ወንዜንወክሙ፡ ኦአኃውየ፡ ፍቁራን፡ ሕዝበ፡ ክርስቲያን፡ በእንተ፡  ዕበየ፡ ተአምሪሃ፡ ወመንክራቲሃ፡ ... ፨ ዘገበረት፡  በሀገረ፡ አትሪብ፡ ወሀሎ፡ ፩ንጉሥ፡ ወውእቱ፡ መዋዕል፡ ዘስሙ፡  ከሊፋ፡ ወዝ፡ ብሂል፡ ዘነግሠ፡ እምድኅረ፡ አቤሁ፡ ረስዲድ፡ ወትርጓሜሁ፡ …,High,(F. 5ra) ተአምሪሃ፡ ለእግዝእትነ፡ … (l. 10) ንወጥን፡ በረድኤተ፡ እግዚአብሔር፡ ወበአኰቴተ፡ ስብሐቲሁ፨ ወንዜንወክሙ፡ ኦአኃውየ፡ ፍቁራን፡ ሕዝበ፡ ክርስቲያን፡ በእንተ፡  ዕበየ፡ ተአምሪሃ፡ ወመንክራቲሃ፡ ለእግዝእነ፡ ቅድስት፡ ወድንግል፡ በ፪ማርያም፡ ወላዲተ፡ አምላክ፨ ዘገበረት፡  በሀገረ፡ አትሪብ፡ ወሀሎ፡ ፩ንጉሥ፡ ወውእቱ፡ መዋዕል፡ ዘስሙ፡  ከሊፋ፡ ወዝ፡ ብሂል፡ ዘነግሠ፡ እምድኅረ፡ አቤሁ፡ ረስዲድ፡ ወትርጓሜሁ፡ …,Place name: አትሪብ; Personal names: ከሊፋ፡ (king) and ረስዲድ፡ (his father).,FALSE,,,,,FALSE,,,FALSE,FALSE,EMML (HMML) 3872 101r,FALSE,96,5,r,,,,1800,1899,19,15,1,1
EMML (HMML) 6835,159,EMML (HMML) 7089,"A nun sacristan elopes with a priest, but afterwards they repent.",10v,,1,8,10va l. 16,11v,,1,17,2,ተብህለ፡ ከመ፡ ሀሎ፡ ፩ደብር፡ ዘደናግል፡ በውስተ፡ አሐቲ፡ ሀገር፨ ወሀለወት፡ ውስተ፡ ውእቱ፡ ደብር፡ ብእሲት፡ ሠናይት፡ መነኮሳይት፡ ፈራሂተ፡ እግዚአብሔር፡ ወትትለአክ፡ ውስተ፡ ቤተ፡ ክርስቲያና፡ ለእግዝእትነ፡ ... እመ፡ ኵሉ፡ ዓለም፡ እመ፡ ፍሥሐ፡  …,High,(F. 10va l. 8) ተአምሪሃ፡ ለእግዝእትነ፡ … (l. 16)  ተብህለ፡ ከመ፡ ሀሎ፡ ፩ደብር፡ ዘደናግል፡ በውስተ፡ አሐቲ፡ ሀገር፨ ወሀለወት፡ ውስተ፡ ውእቱ፡ ደብር፡ ብእሲት፡ ሠናይት፡ መነኮሳይት፡ ፈራሂተ፡ እግዚአብሔር፡ ወትትለአክ፡ ውስተ፡ ቤተ፡ ክርስቲያና፡ ለእግዝእትነ፡ ቅድስት፡ ወድንግል፡ በ፪ማርያም፡ ወላዲተ፡ አምላክ ፡ እመ፡ ኵሉ፡ ዓለም፡ እመ፡ ፍሥሐ፡  …,,FALSE,,,,,FALSE,,,FALSE,FALSE,EMML (HMML) 7089 32r,FALSE,96,10,v,,,,1800,1899,19,15,1,1
EMML (HMML) 6835,160,EMML (HMML) 7089,The bee keeper who consulted a sorceress to have more honey.,11v,,1,18,11va l. 26,12r,,2,3,3,ተብህለ፡ ከመ፡ ሀሎ፡ ፩ብእሲ፡ በሀገረ፡ እልፍንድር፡ ወኮነ፡ ይፈቅድ፡ ከመ፡ ይኩን፡ ብዙኃ፡ መዐረ፡ ወብዙኃ፡ ሰምዐ፡ ፈድፋደ፡ እምኵሎሙ፡ አግዋሪሁ፨ ወሖረ፡ ኀበ፡ አሐቲ፡ መሰሪት፡ ብእሲት፡ ወይቤላ፡ እስእለኪ፡ ከመ፡ ትምክርኒ፡ ምንተ፡ እግበር፡ ከመ፡ ይኵን፡ ብዙኃ፡ መዓረ፡ ወብዙኃ፡ ሰምዓ፡ ፈድፋደ፡ እምኵሉ፡ አግዋርየ፨ ወትቤሎ፡ ይእቲ፡ ብእሲት፡ መሰሪት፡ አንሰ፡ …,High,(F. 11va l. 18) ተአምሪሃ፡ ለእግዝእትነ፡ … (l.  26)  ተብህለ፡ ከመ፡ ሀሎ፡ ፩ብእሲ፡ በሀገረ፡ እልፍንድር፡ ወኮነ፡ ይፈቅድ፡ ከመ፡ ይኩን፡ ብዙኃ፡ መዐረ፡ ወብዙኃ፡ ሰምዐ፡ ፈድፋደ፡ እምኵሎሙ፡ አግዋሪሁ፨ ወሖረ፡ ኀበ፡ አሐቲ፡ መሰሪት፡ ብእሲት፡ ወይቤ(f. 11vb)ላ፡ እስእለኪ፡ ከመ፡ ትምክርኒ፡ ምንተ፡ እግበር፡ ከመ፡ ይኵን፡ ብዙኃ፡ መዓረ፡ ወብዙኃ፡ሰምዓ፡ ፈድፋደ፡ እምኵሉ፡ አግዋርየ፨ ወትቤሎ፡ ይእቲ፡ ብእሲት፡ መሰሪት፡ አንሰ፡ …,Place name: እልፍንድር፡. ,FALSE,,,,,FALSE,,,FALSE,FALSE,EMML (HMML) 7089 32r,FALSE,96,11,v,,,,1800,1899,19,15,1,1
EMML (HMML) 6835,156,EMML (HMML) 7089,The young novice whom Saint Mary encouraged to persevere in his vocation.,12r,,2,4,12rb l. 12,13r,,3,34,4,ተብህለ፡ ከመ፡ ሀሎ፡ ፩ወሬዛ፡ ዘሠናይ፡ አርአያሁ፨ ወያፈቅራ፡ ለእግዝእትነ፡ ... ፨ በኵሉ፡ ልቡ፡ ወይትአ*ካ፡  በኵሉ፡ ክሂሎቱ፡ እንዘ፡ ሀሎ፡ ውስተ፡ ዓለም፡ እምቅድመ፡ ይመንኵስ፡ ወእምዝ፡ ሖረ፡ ወቦአ፡ ውስተ፡ ደብር፡ ወአመከረ፡ ርእሶ፡ አሐተ፡ ዓመተ፡ ወይቤሎ፡ አበ፡ ምኔት፡ አእምር፡ ኦወልድየ፡ እስመ፡ … ,High,(F. 12rb l. 4) ተአምሪሃ፡ ለእግዝእትነ፡ … (l.  12) ተብህለ፡ ከመ፡ ሀሎ፡ ፩ወሬዛ፡ ዘሠናይ፡ አርአያሁ፨ ወያፈቅራ፡ ለእግዝእትነ፡ ቅድስት፡ ወድንግል፡ በ፪ማርያም፡ ወላዲተ፡ አምላክ፨ በኵሉ፡ ልቡ፡ ወይትአ{s.l. ለ}ካ፡  በኵሉ፡ ክሂሎቱ፡ እንዘ፡ ሀሎ፡ ውስተ፡ ዓለም፡ እምቅድመ፡ ይመንኵስ፡ ወእምዝ፡ ሖረ፡ ወቦአ፡ ውስተ፡ ደብር፡ ወአመከረ፡ ርእሶ፡ አሐተ፡ ዓመተ፡ ወይቤሎ፡ አበ፡ ምኔት፡ አእምር፡ ኦወልድየ፡ እስመ፡ … Abbreviation used: s.l. = supra lineam.,,FALSE,,,,,FALSE,,,FALSE,FALSE,EMML (HMML) 9002 167r,FALSE,96,12,r,,,,1800,1899,19,15,1,1
EMML (HMML) 6835,172,,The merchant who distributed as alms the money that had been loaned him by a friend.,13r,,3,35,13va l.  7,14v,,3,33,5,ወነበረ፡ ፩ብእሲ፡ ባዕል፡ ወነጋዲ፡ በሀገረ፡ ኒቆንያ፨ ወቦቱ፡ ምግባረ፡ ሠናይ፡ ወይምሕክ፡ ነዳያነ፡ በውሂበ፡ መጽዋት፡ ብዙኃ፡ ወአሐተ፡ ዕለተ፡ ሐለየ፡ በልቡ፡ እንዘ፡ ይብል፡ እስመ፡ ሊተ፡ ሀለወኒ፡ ብዙኅ፡ ንዋይ፡ ብየ፡ ወርቅ፡ ወብሩረ፨ ወእፈቅድ፡ አሐብ፡ ለነዳያን፡ ወለምስኪናን፨  እምቅድመ፡… ,High,(F. 13rc l. 35) ተአምሪሃ፡ ለእግዝእትነ፡ … (f. 13va l.  7)  ወነበረ፡ ፩ብእሲ፡ ባዕል፡ ወነጋዲ፡ በሀገረ፡ ኒቆንያ፨ ወቦቱ፡ ምግባረ፡ ሠናይ፡ ወይምሕክ፡ ነዳያነ፡ በውሂበ፡ መጽዋት፡ ብዙኃ፡ ወአሐተ፡ ዕለተ፡ ሐለየ፡ በልቡ፡ እንዘ፡ ይብል፡ እስመ፡ ሊተ፡ ሀለወኒ፡ ብዙኅ፡ ንዋይ፡ ብየ፡ ወርቅ፡ ወብሩረ፨ ወእፈቅድ፡ አሐብ፡ ለነዳያን፡ ወለምስኪናን፨  እምቅድመ፡… ,Place name: ኒቆንያ፡. ,FALSE,,,,,FALSE,,,FALSE,FALSE,EMML (HMML) 3872 64v,FALSE,96,13,r,,,,1800,1899,19,15,1,1
EMML (HMML) 6835,41,,The old woman from Sembat who gave the offering for Saint Mary to Saint George.,14v,,3,34,15ra  l.  6,15v,,3,8,6,ወሀለወት፡ አሐቲ፡ አረጊት፡ በሀገር፡ እንተ፡ ሰማ፡ ባት፡ ወፈራሂተ፡ እግዚአብሔር፡ ይእቲ፡ ወትፈቅራ፡ ለእግዝእትነ፡ ... ፨ በኵሉ፡ ልባ፡   ወ* ምጽዋተ፡ *ን፡ ወለምስኪናን፡ በእንተ፡ ስማ፡ ለእግዝእትነ፡ ... ወእምፃማ፡ እዴሃ፡ …,High,(F. 14vc l. 34) ተአምሪሃ፡ ለእግዝእትነ፡ … (f. 15ra  l.  6)  ወሀለወት፡ አሐቲ፡ አረጊት፡ በሀገር፡ እንተ፡ ሰማ፡ ባት፡ ወፈራሂተ፡ እግዚአብሔር፡ ይእቲ፡ ወትፈቅራ፡ ለእግዝእትነ፡ ቅድስት፡ ድንግል፡ በ፪ማርያም፡ ወላዲተ፡ አምላክ፨ በኵሉ፡ ልባ፡   ወ{n.l.}  ምጽዋተ፡ {n.l.}ን፡ ወለምስኪናን፡ በእንተ፡ ስማ፡ ለእግዝእትነ፡ ቅድስት፡ ወድንግል፡ በ፪ማርያም፡ ወላዲተ፡ ፩አምላክ፡ ወእምፃማ፡ እዴሃ፡ …,Place name: ሰማ፡ ባት፡. ,FALSE,,,,,FALSE,,,FALSE,FALSE,PEM (PUL) 46 155v,FALSE,96,14,v,,,,1800,1899,19,16,1,1
EMML (HMML) 6835,47,,The conversion of a Muslim merchant who had been imprisoned in Naples.,15v,,3,9,15ra  l.  16,16v,,2,14,7,ወሀለወ፡ ፩ተንባል፨  ወይነግድ፡ በሀገረ፡ *  በባሕረ፡ ኢያሪኮ፡ በሐመር፨  ወሖረ፡ በከመ፡ ልማዱ፡ ወወፅአ፡ እምባሕር፡ *  …,Medium,(F. 15vc l. 9) ተአምሪሃ፡ ለእግዝእትነ፡ … (f. 15ra  l.  16) ወሀለወ፡ ፩ተንባል፨  ወይነግድ፡ በሀገረ፡ {n.l.} በባሕረ፡ ኢያሪኮ፡ በሐመር፨  ወሖረ፡ በከመ፡ ልማዱ፡ ወወፅአ፡ እምባሕር፡ …; abbreviation used: n.l. = non liquet.,Place name: ኢያሪኮ ፡,FALSE,,,,Miracle almost unlegible: images of the folios very dark. The ID 47 does not come up among the results of the Incipit tool (guess of the ID 47 made from the title given by Macomber).  ,FALSE,,,FALSE,FALSE,,FALSE,96,15,v,,,,1800,1899,19,15,1,1
EMML (HMML) 6835,54,EMML (HMML) 6938,Saint Mary carries a dying monk to Jerusalem.,16v,,2,15,16vb l. 23,17r,,1,35,8,ስምዑ፡ አበውየ፡ ወአኃውየ፡ ዘንተ፡ ነገረ፡ ዘኮነ፡ በእንተ፡ እግዝእትነ፡ ... እመ፡ ምሕረት፡ ሰማዒት፡ ለዘሰአላ፨ ወመሥፍስሒት፡* ለሕዙናን፡ በአማን፡ ተወካፊት፡ ለዘሰአላ፡ በጥቡዕ፡ ልብ፡ ወበጽኑዕ፡ ሃይማኖት ፨ ወእ*ዘ፡ ሀሎኩ፡ አነ፡ ነዳይ፡ ዮሐንስ፡ እስቁፍ፡ በገዳማ፡ አስቄጥሰ፡ በደብረ፡ ነጋድያን፡ አዘዘኒ፡ …,High,(F. 16vb l. 15) ተአምሪሃ፡ ለእግዝእትነ፡ … (l.  23)  ስምዑ፡ አበውየ፡ ወአኃውየ፡ ዘንተ፡ ነገረ፡ ዘኮነ፡ በእንተ፡ እግዝእትነ፡ ቅድስት፡ ድንግል፡ በ፪ማርያም፡ ወላዲተ፡ አምላክ፡ እመ፡ ምሕረት፡ ሰማዒት፡ ለዘሰአላ፨ ወመሥፍስሒት፡{sic} ለሕዙናን፡ በአማን፡ ተወካፊት፡ ለዘሰአላ፡ በጥቡዕ፡ ልብ፡ ወበጽኑዕ፡ ሃይማኖት ፨ ወእ{s.l. ን}ዘ፡ ሀሎኩ፡ አነ፡ ነዳይ፡ ዮ(f. 16vc)ሐንስ፡ እስቁፍ፡ በገዳማ፡ አስቄጥሰ፡ በደብረ፡ ነጋድያን፡ አዘዘኒ፡ …,Place name: ደብረ፡ ነጋድያን፡; personal name: ዮሐንስ፡,FALSE,,,,,FALSE,,,FALSE,FALSE,EMML (HMML) 6938 61r,FALSE,96,16,v,,,,1800,1899,19,15,1,1
EMML (HMML) 6835,26,,The European who wanted to steal the bars of the door to the Manger at Bethlehem.,17r,,2,1,17rb l. 9,18r,,3,21,9,ወኮነ፡ በበዓላ፡ ለእግዝእትነ፡… አመ፲ወ፯ለነሐሲ፡ ዕርገተ፡ ሥጋሃ፡ ቅዱስ፡ ውስተ፡ ሰማያት፡ ወይትገብር፡ ላቲ፡ በዐል፡ ዓቢይ፡ በቤተ፡ ልሔም፡ ኀበ፡ መካን፡ ዘወለደቶ፡ ለምድኃኔ፡  ዓለም፨   ወይትጋብኡ፡ ውስቴቱ፡ ጉባኤ፡ ብዙኃ*፡ እምኵሉ፡ ቤተ፡ ክርስቲያን፡  …,High,(F. 17rb) ተአምሪሃ፡ ለእግዝእትነ፡ … (l.  9)  ወኮነ፡ በበዓላ፡ ለእግዝእትነ፡ ቅድስት፡ ድንግል፡ በ፪ማርያም፡ አመ፲ወ፯ለነሐሲ፡ ዕርገተ፡ ሥጋሃ፡ ቅዱስ፡ ውስተ፡ ሰማያት፡ ወይትገብር፡ ላቲ፡ በዐል፡ ዓቢይ፡ በቤተ፡ ልሔም፡ ኀበ፡ መካን፡ ዘወለደቶ፡ ለምድኃኔ፡  ዓለም፨   ወይትጋብኡ፡ ውስቴቱ፡ ጉባኤ፡ ብዙኃ{s.l. ን}፡ እምኵሉ፡ ቤተ፡ ክርስቲያን፡ ...   Abbreviation used: s.l. = supra lineam.,Place name: ቤተ፡ ልሔም፡ (Bethlehem).,FALSE,,,,,FALSE,,,FALSE,FALSE,PEM (PUL) 46 131r,FALSE,96,17,r,,,,1800,1899,19,16,1,1
EMML (HMML) 6835,53,,Däbrä Metmaq miracles: The cistern at Däbrä Metmaq is filled miraculously.,18r,,3,22,18rc l. 30,19r,,1,36,10,ወሀሎ፡ ውስተ፡ ዝንቱ፡ ደብረ፡ ምጥማቅ፡ ቤተ፡ ክርስቲያን፡ ዘሕንጽት፡ በስመ፡ እግዝእትነ፡ ... ዔላ፡ ዘውእቱ፡ እምእ*ደ፡ ማይ፨ ወልማዶሙ፡ ለመነኮሳት፡ ለለኵሉ፡ ዓመት፡ እምቅድመ፡ ብጽሐተ፡ በዐል፡ ዘደብር፨ ወየአስቡ፡ ሰብአ፡ ወይሁብ፡ … ,High,(F. 18rc l. 22) ተአምሪሃ፡ ለእግዝእትነ፡ … (l.  30)  ወሀሎ፡ ውስተ፡ ዝንቱ፡ ደብረ፡ ምጥማቅ፡ ቤተ፡ ክርስቲያን፡ ዘሕንጽት፡ በስመ፡ እግዝእትነ፡ ቅድስት፡ ድንግል፡ ዘ፪ማርያም፡ ወላዲ(f. 18va)ተ፡ አምላክ፡ ዔላ፡ ዘውእቱ፡ እምእ{s.l. ላ}ደ፡ ማይ፨ ወልማዶሙ፡ ለመነኮሳት፡ ለለኵሉ፡ ዓመት፡ እምቅድመ፡ ብጽሐተ፡ በዐል፡ ዘደብር፨ ወየአስቡ፡ ሰብአ፡ ወይሁብ፡ …  Abbreviation used: s.l. = supra lineam.,Place name: ደብረ፡ ምጥማቅ፡. ,FALSE,,,,,FALSE,,,FALSE,FALSE,PEM (PUL) 46 151v,FALSE,96,18,r,,,,1800,1899,19,15,1,1
