Name,Town,Country,Continent,Certainty,Notes,Blank,Province,Country,Region_,Continent,Place Type,"Neighborhood, Church, Monastery",Latitude,Longitude
Africa (confirmed),,,Africa,confirmed,,,,,,,,,,
"Egypt, Africa (confirmed)",,Egypt,Africa,confirmed,,,,,,,,,,
"Ethiopia, Africa (confirmed)",,Ethiopia,Africa,confirmed,,,,,,,,,,
"Scete, Egypt, Africa (confirmed)",Scete,Egypt,Africa,confirmed,,,,,,,,,,
"Dabra Mǝtmāq, Egypt, Africa (confirmed)",Dabra Mǝtmāq,Egypt,Africa,confirmed,,,,,,,,,,
"Däbrä Qaləmon, Egypt, Africa (confirmed)",Däbrä Qaləmon,Egypt,Africa,confirmed,,,,,,,,,,
"Däbrä Qʷəsqʷam, Egypt, Africa (confirmed)",Däbrä Qʷəsqʷam,Egypt,Africa,confirmed,,,,,,,,,,
"Dabra Zamaddo, Ethiopia, Africa (confirmed)",Dabra Zamaddo,Ethiopia,Africa,confirmed,,,,,,,,,,
Africa (probably),,,Africa,probably,,,,,,,,,,
"Egypt, Africa (probably)",,Egypt,Africa,probably,,,,,,,,,,
"Ethiopia, Africa (probably)",,Ethiopia,Africa,probably,,,,,,,,,,
Europe (confirmed),,,Europe,confirmed,,,,,,,,,,
"Montserrat, France, Europe (confirmed)",,"Montserrat, France",Europe,confirmed,,,,,,,,,,
"France, Europe (confirmed)",,France,Europe,confirmed,,,,,,,,,,
"Germany, Europe (confirmed)",,Germany,Europe,confirmed,,,,,,,,,,
"Aragon, Europe (confirmed)",,Aragon,Europe,confirmed,,,,,,,,,,
"Spain, Europe (confirmed)",,Spain,Europe,confirmed,,,,,,,,,,
"Portugal, Europe (confirmed)",,Portugal,Europe,confirmed,,,,,,,,,,
"England, Europe (confirmed)",,England,Europe,confirmed,,,,,,,,,,
"Ireland, Europe (confirmed)",,Ireland,Europe,confirmed,,,,,,,,,,
"Scotland, Europe (confirmed)",,Scotland,Europe,confirmed,,,,,,,,,,
"Greece, Europe (confirmed)",,Greece,Europe,confirmed,,,,,,,,,,
"Iceland, Europe (confirmed)",,Iceland,Europe,confirmed,,,,,,,,,,
"Italy, Europe (confirmed)",,Italy,Europe,confirmed,,,,,,,,,,
"Hungary, Europe (confirmed)",,Hungary,Europe,confirmed,,,,,,,,,,
Europe (probably),,,Europe,probably,,,,,,,,,,
"Poland, Europe (probably)",,Poland,Europe,probably,,,,,,,,,,
"France, Europe (probably)",,France,Europe,probably,,,,,,,,,,
"Germany, Europe (probably)",,Germany,Europe,probably,,,,,,,,,,
"Aragon, Europe (probably)",,Aragon,Europe,probably,,,,,,,,,,
"Spain, Europe (probably)",,Spain,Europe,probably,,,,,,,,,,
"Portugal, Europe (probably)",,Portugal,Europe,probably,,,,,,,,,,
"England, Europe (probably)",,England,Europe,probably,,,,,,,,,,
"Ireland, Europe (probably)",,Ireland,Europe,probably,,,,,,,,,,
"Scotland, Europe (probably)",,Scotland,Europe,probably,,,,,,,,,,
"Hungary, Europe (probably)",,Hungary,Europe,probably,,,,,,,,,,
Levant (confirmed),,,Levant,confirmed,,,,,,,,,,
"Jerusalem, Levant (confirmed)",,Jerusalem,Levant,confirmed,,,,,,,,,,
"Bethlehem, Levant (confirmed)",,Bethlehem,Levant,confirmed,,,,,,,,,,
"Syria, Levant (confirmed)",,Syria,Levant,confirmed,,,,,,,,,,
"Constantinople, Levant (confirmed)",,Constantinople,Levant,confirmed,,,,,,,,,,
"Constantinople, Levant (probably)",,Constantinople,Levant,probably,,,,,,,,,,
"Jerusalem, Levant (probably)",,Jerusalem,Levant,probably,,,,,,,,,,
"Bethlehem, Levant (probably)",,Bethlehem,Levant,probably,,,,,,,,,,
"Syria, Levant (probably)",,Syria,Levant,probably,,,,,,,,,,
"Galatia, Levant (probably)",,Galatia,Levant,probably,,,,,,,,,,
Levant (probably),,,Levant,probably,,,,,,,,,,
